question,answer,correct_feedback,incorrect_feedback,hint,region
太陽餅是哪個縣市的知名伴手禮？,台中市,答對了！就是台中。,答錯囉，提示：在中部。,太陽堂很有名,中部
度小月擔仔麵源自哪個城市？,台南市,沒錯！台南是美食之都。,不對喔，提示：在南部。,古都,南部
貢丸和米粉是哪個城市的特產？,新竹市,正確！風城特產。,錯了，提示：風很大的地方。,風城,北部
淡水阿給和鐵蛋位於哪個縣市？,新北市,答對了！,再想想，淡水在哪裡？,包圍著台北市,北部
噴水雞肉飯是哪個城市的招牌美食？,嘉義市,賓果！,不對喔，提示：阿里山腳下。,火雞肉飯,南部
曾記麻糬是哪個縣市的知名伴手禮？,花蓮縣,太厲害了！,錯囉，提示：在東部。,太魯閣在那裡,東部
萬巒豬腳是哪個縣市的美食？,屏東縣,正確！,不對喔，提示：台灣最南端。,墾丁也在那,南部
黑糖糕是哪個離島縣市的名產？,澎湖縣,答對了！,再猜猜，要搭飛機或船去。,花火節,離島
薄脆的牛舌餅是哪個縣市的名產？,宜蘭縣,沒錯！,錯了，提示：在東北部。,三星蔥也很有名,東部
深坑臭豆腐位於哪個縣市？,新北市,答對了！,再想想。,在台北市隔壁,北部
